Name,PID,CommandLine
msedgewebview2.exe,10532,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version )"" --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1787024956665314 --launch-time-ticks=328840350828 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3332,i,5236400755202564887,3989985742038031174,2097152 --field-trial-handle=2064,i,6845175548239027642,5965147656615701612,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2068,i,2242894808674249232,3645520204023480131,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3348 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a /prefetch:1"
dllhost.exe,10812,C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
svchost.exe,11272,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SensorService
ctfmon.exe,3912,/QuitInfo:000000000000034C;0000000000000350; 
UserOOBEBroker.exe,10188,C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding
SecurityHealthSystray.exe,11144,"""C:\Windows\System32\SecurityHealthSystray.exe"" "
AppActions.exe,11804,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"" -Embedding"
OneDrive.exe,6808," /updateInstalled /background"
OneDrive.Sync.Service.exe,7464,/silentConfig
msedge.exe,412,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=on_device_model.mojom.OnDeviceModelService --lang=en-US --service-sandbox-type=on_device_model_execution --skip-read-main-dll --metrics-shmem-handle=7308,i,12737620022947572641,10123420154173556141,524288 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190709021919461756 --mojo-platform-channel-handle=5600 /prefetch:14"
msedge.exe,9508,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=renderer --pdf-upsell-enabled --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=51 --time-ticks-at-unix-epoch=-1787024956665314 --launch-time-ticks=329044347778 --skip-read-main-dll --metrics-shmem-handle=6408,i,6427328337393079406,18104010344779740176,2097152 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190709034101005793 --mojo-platform-channel-handle=5456 /prefetch:1"
msedge.exe,6568,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=edge_search_indexer.mojom.SearchIndexerInterfaceBroker --lang=en-US --service-sandbox-type=search_indexer --message-loop-type-ui --skip-read-main-dll --metrics-shmem-handle=8100,i,4804093220771113598,4222998892196824018,524288 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190709035975089491 --mojo-platform-channel-handle=7020 /prefetch:14"
RuntimeBroker.exe,12184,C:\Windows\System32\RuntimeBroker.exe -Embedding
Widgets.exe,3380,"""C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.21100.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"" -ServerName:Microsoft.Windows.DashboardServer"
msedgewebview2.exe,1644,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=526.21100.10.0 --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=3380.4996.14954212093579415823 /pfhostedapp:0ccd90c4b4f73b29e2789dc4ab7ddef5304d416f"
